"cell","composite","data_type","data_version","date_submitted","date_unrestricted","dcc_accession","grant","lab","localization","md5sum","orig_assembly","project","rna_extract","size","sub_id","table_name","type","view","filename","fname","url"
"K562","wgEncodeAffyRnaChip","RnaChip","ENCODE Feb 2009 Freeze",#2009-01-09#,#2009-10-09#,"wgEncodeEH000013","Gingeras","Affy","chromatin","c28df5ca4c27c400563faf23f4b34b2b","hg18","wgEncode","total","21M",2121,"wgEncodeAffyRnaChipTransfragsK562ChromatinTotal","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsK562ChromatinTotal.broadPeak.gz","wgEncodeAffyRnaChipTransfragsK562ChromatinTotal.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsK562ChromatinTotal.broadPeak.gz"
"K562","wgEncodeAffyRnaChip","RnaChip","ENCODE Nov 2008 Freeze",#2008-11-22#,#2009-08-22#,"wgEncodeEH000005","Gingeras","Affy","cytosol","5ca7a52323fd32a7f551053133261781","hg18","wgEncode","longNonPolyA","9.3M",2121,"wgEncodeAffyRnaChipTransfragsK562CytosolLongnonpolya","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsK562CytosolLongnonpolya.broadPeak.gz","wgEncodeAffyRnaChipTransfragsK562CytosolLongnonpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsK562CytosolLongnonpolya.broadPeak.gz"
"K562","wgEncodeAffyRnaChip","RnaChip","ENCODE Nov 2008 Freeze",#2008-11-22#,#2009-08-22#,"wgEncodeEH000006","Gingeras","Affy","cytosol","e00718a075afe2a6140382d4ad03d1f9","hg18","wgEncode","longPolyA","12M",2121,"wgEncodeAffyRnaChipTransfragsK562CytosolLongpolya","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsK562CytosolLongpolya.broadPeak.gz","wgEncodeAffyRnaChipTransfragsK562CytosolLongpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsK562CytosolLongpolya.broadPeak.gz"
"K562","wgEncodeAffyRnaChip","RnaChip","ENCODE Feb 2009 Freeze",#2009-02-04#,#2009-11-04#,"wgEncodeEH000015","Gingeras","Affy","nucleolus","66b50b303ef6232260cc4122a477c564","hg18","wgEncode","total","18M",2121,"wgEncodeAffyRnaChipTransfragsK562NucleolusTotal","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsK562NucleolusTotal.broadPeak.gz","wgEncodeAffyRnaChipTransfragsK562NucleolusTotal.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsK562NucleolusTotal.broadPeak.gz"
"K562","wgEncodeAffyRnaChip","RnaChip","ENCODE Feb 2009 Freeze",#2009-01-09#,#2009-10-09#,"wgEncodeEH000014","Gingeras","Affy","nucleoplasm","a8dd7bc1d955912e94483e7c25122d58","hg18","wgEncode","total","22M",2121,"wgEncodeAffyRnaChipTransfragsK562NucleoplasmTotal","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsK562NucleoplasmTotal.broadPeak.gz","wgEncodeAffyRnaChipTransfragsK562NucleoplasmTotal.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsK562NucleoplasmTotal.broadPeak.gz"
"K562","wgEncodeAffyRnaChip","RnaChip","ENCODE Nov 2008 Freeze",#2008-11-22#,#2009-08-22#,"wgEncodeEH000007","Gingeras","Affy","nucleus","468f3e30a0e436db8f9b449c4cd5c69a","hg18","wgEncode","longNonPolyA","17M",2121,"wgEncodeAffyRnaChipTransfragsK562NucleusLongnonpolya","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsK562NucleusLongnonpolya.broadPeak.gz","wgEncodeAffyRnaChipTransfragsK562NucleusLongnonpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsK562NucleusLongnonpolya.broadPeak.gz"
"K562","wgEncodeAffyRnaChip","RnaChip","ENCODE Nov 2008 Freeze",#2008-11-22#,#2009-08-22#,"wgEncodeEH000008","Gingeras","Affy","nucleus","feaf778819569eaf61716fac3f9da836","hg18","wgEncode","longPolyA","18M",2121,"wgEncodeAffyRnaChipTransfragsK562NucleusLongpolya","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsK562NucleusLongpolya.broadPeak.gz","wgEncodeAffyRnaChipTransfragsK562NucleusLongpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsK562NucleusLongpolya.broadPeak.gz"
"K562","wgEncodeAffyRnaChip","RnaChip","ENCODE Nov 2008 Freeze",#2008-11-21#,#2009-08-21#,"wgEncodeEH000004","Gingeras","Affy","polysome","8bca1cd0ae0691ee7e9f176369609e07","hg18","wgEncode","longNonPolyA","17M",2121,"wgEncodeAffyRnaChipTransfragsK562PolysomeLongnonpolya","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsK562PolysomeLongnonpolya.broadPeak.gz","wgEncodeAffyRnaChipTransfragsK562PolysomeLongnonpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsK562PolysomeLongnonpolya.broadPeak.gz"
"NHEK","wgEncodeAffyRnaChip","RnaChip","ENCODE July 2009 Freeze",#2009-05-27#,#2010-02-27#,"wgEncodeEH000020","Gingeras","Affy","cytosol","89176eaaea87c333104434d20d10488a","hg18","wgEncode","longNonPolyA","9.4M",2121,"wgEncodeAffyRnaChipTransfragsKeratinocyteCytosolLongnonpolya","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsKeratinocyteCytosolLongnonpolya.broadPeak.gz","wgEncodeAffyRnaChipTransfragsKeratinocyteCytosolLongnonpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsKeratinocyteCytosolLongnonpolya.broadPeak.gz"
"NHEK","wgEncodeAffyRnaChip","RnaChip","ENCODE July 2009 Freeze",#2009-05-27#,#2010-02-27#,"wgEncodeEH000021","Gingeras","Affy","cytosol","c27a35b233d10c1bc83d2e38f952355f","hg18","wgEncode","longPolyA","13M",2121,"wgEncodeAffyRnaChipTransfragsKeratinocyteCytosolLongpolya","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsKeratinocyteCytosolLongpolya.broadPeak.gz","wgEncodeAffyRnaChipTransfragsKeratinocyteCytosolLongpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsKeratinocyteCytosolLongpolya.broadPeak.gz"
"NHEK","wgEncodeAffyRnaChip","RnaChip","ENCODE July 2009 Freeze",#2009-06-12#,#2010-03-12#,"wgEncodeEH000022","Gingeras","Affy","nucleus","5d17826eb5392cacfd04d0128c3d0f9b","hg18","wgEncode","longNonPolyA","15M",2121,"wgEncodeAffyRnaChipTransfragsKeratinocyteNucleusLongnonpolya","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsKeratinocyteNucleusLongnonpolya.broadPeak.gz","wgEncodeAffyRnaChipTransfragsKeratinocyteNucleusLongnonpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsKeratinocyteNucleusLongnonpolya.broadPeak.gz"
"NHEK","wgEncodeAffyRnaChip","RnaChip","ENCODE July 2009 Freeze",#2009-06-12#,#2010-03-12#,"wgEncodeEH000023","Gingeras","Affy","nucleus","a03f8e7d051de3ad4c5676f34178adec","hg18","wgEncode","longPolyA","15M",2121,"wgEncodeAffyRnaChipTransfragsKeratinocyteNucleusLongpolya","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsKeratinocyteNucleusLongpolya.broadPeak.gz","wgEncodeAffyRnaChipTransfragsKeratinocyteNucleusLongpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsKeratinocyteNucleusLongpolya.broadPeak.gz"
"prostate","wgEncodeAffyRnaChip","RnaChip","ENCODE Nov 2008 Freeze",#2008-11-24#,#2009-08-24#,"wgEncodeEH000009","Gingeras","Affy","cell","a4db5a27d52b111b9a613dcd0bda7ecd","hg18","wgEncode","longNonPolyA","14M",2121,"wgEncodeAffyRnaChipTransfragsProstateCellLongnonpolya","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsProstateCellLongnonpolya.broadPeak.gz","wgEncodeAffyRnaChipTransfragsProstateCellLongnonpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsProstateCellLongnonpolya.broadPeak.gz"
"prostate","wgEncodeAffyRnaChip","RnaChip","ENCODE Nov 2008 Freeze",#2008-11-24#,#2009-08-24#,"wgEncodeEH000010","Gingeras","Affy","cell","0a7c911f040a37e7e3a3865e4e972431","hg18","wgEncode","longPolyA","14M",2121,"wgEncodeAffyRnaChipTransfragsProstateCellLongpolya","broadPeak","Transfrags","wgEncodeAffyRnaChipTransfragsProstateCellLongpolya.broadPeak.gz","wgEncodeAffyRnaChipTransfragsProstateCellLongpolya.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAffyRnaChip/wgEncodeAffyRnaChipTransfragsProstateCellLongpolya.broadPeak.gz"
