"cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","lab_version","md5sum","obj_status","orig_assembly","project","replicate","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"HAc","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001192","GSM736586","Stam","UW","DS14765","Hotspot-v5.1","bb3215ee77b7145bf05541ac8dc0e0c9",,"hg19","wgEncode",1,"4.2M",3201,,"wgEncodeUwDnaseHacHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseHacHotspotsRep1.broadPeak.gz","wgEncodeUwDnaseHacHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHacHotspotsRep1.broadPeak.gz"
"HAc","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001192","GSM736538","Stam","UW","DS14770","Hotspot-v5.1","106ea146de1924f4259ffd21835b8254",,"hg19","wgEncode",2,"4.3M",3202,,"wgEncodeUwDnaseHacHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseHacHotspotsRep2.broadPeak.gz","wgEncodeUwDnaseHacHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHacHotspotsRep2.broadPeak.gz"
"HAc","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001192","GSM736586","Stam","UW","DS14765","lmax-v1.0","99130757ca2523c598bbc79a4c7066d9",,"hg19","wgEncode",1,"2.1M",3201,,"wgEncodeUwDnaseHacPkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseHacPkRep1.narrowPeak.gz","wgEncodeUwDnaseHacPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHacPkRep1.narrowPeak.gz"
"HAc","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001192","GSM736538","Stam","UW","DS14770","lmax-v1.0","7a25625efb4bf2f43d71aa7990f1547f",,"hg19","wgEncode",2,"1.7M",3202,,"wgEncodeUwDnaseHacPkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseHacPkRep2.narrowPeak.gz","wgEncodeUwDnaseHacPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHacPkRep2.narrowPeak.gz"
"HAc","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001192","GSM736586","Stam","UW","DS14765","WindowDensity-bin20-win+/-75","ab4fdf1695e1f60752c03b09f75c0ce2",,"hg19","wgEncode",1,"219M",3201,,"wgEncodeUwDnaseHacRawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseHacRawRep1.bigWig","wgEncodeUwDnaseHacRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHacRawRep1.bigWig"
"HAc","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001192","GSM736538","Stam","UW","DS14770","WindowDensity-bin20-win+/-75","d6e2e05936b2a36337227c39d7d1cece",,"hg19","wgEncode",2,"180M",3202,,"wgEncodeUwDnaseHacRawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseHacRawRep2.bigWig","wgEncodeUwDnaseHacRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHacRawRep2.bigWig"
"HAEpiC","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-07#,"wgEncodeEH000512","GSM736631","Stam","UW","DS12663","Hotspot-v5.1","962f356e04ff2df66d08154f60e9ccc9",,"hg18","wgEncode",1,"3.1M",1565,,"wgEncodeUwDnaseHaeHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseHaeHotspotsRep1.broadPeak.gz","wgEncodeUwDnaseHaeHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaeHotspotsRep1.broadPeak.gz"
"HAEpiC","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-07#,"wgEncodeEH000512","GSM736606","Stam","UW","DS12673","Hotspot-v5.1","0e4dedaa388fc8de0a57d158ffb9a65e",,"hg18","wgEncode",2,"3.1M",1579,,"wgEncodeUwDnaseHaeHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseHaeHotspotsRep2.broadPeak.gz","wgEncodeUwDnaseHaeHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaeHotspotsRep2.broadPeak.gz"
"HAEpiC","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-07#,"wgEncodeEH000512","GSM736631","Stam","UW","DS12663","lmax-v1.0","581ba5cd79d81eded87f441d5f4c3519",,"hg18","wgEncode",1,"2.3M",1565,,"wgEncodeUwDnaseHaePkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseHaePkRep1.narrowPeak.gz","wgEncodeUwDnaseHaePkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaePkRep1.narrowPeak.gz"
"HAEpiC","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-07#,"wgEncodeEH000512","GSM736606","Stam","UW","DS12673","lmax-v1.0","9ebe7222106f7b586cb5390dfcf27f70",,"hg18","wgEncode",2,"2.2M",1579,,"wgEncodeUwDnaseHaePkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseHaePkRep2.narrowPeak.gz","wgEncodeUwDnaseHaePkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaePkRep2.narrowPeak.gz"
"HAEpiC","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-07#,"wgEncodeEH000512","GSM736631","Stam","UW","DS12663","WindowDensity-bin20-win+/-75","f57caec6585f53e68f31c3630e7d63dc",,"hg18","wgEncode",1,"111M",1565,,"wgEncodeUwDnaseHaeRawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseHaeRawRep1.bigWig","wgEncodeUwDnaseHaeRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaeRawRep1.bigWig"
"HAEpiC","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2010-01-08#,#2010-10-07#,"wgEncodeEH000512","GSM736606","Stam","UW","DS12673","WindowDensity-bin20-win+/-75","5800dd3f45acfd573dd5a4f22c680421",,"hg18","wgEncode",2,"106M",1579,,"wgEncodeUwDnaseHaeRawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseHaeRawRep2.bigWig","wgEncodeUwDnaseHaeRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaeRawRep2.bigWig"
"HA-h","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001191","GSM736594","Stam","UW","DS15192","Hotspot-v5.1","3a6781ea55965f4e84a27050a0ef939f",,"hg19","wgEncode",1,"4.4M",3203,,"wgEncodeUwDnaseHahHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseHahHotspotsRep1.broadPeak.gz","wgEncodeUwDnaseHahHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHahHotspotsRep1.broadPeak.gz"
"HA-h","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001191","GSM736535","Stam","UW","DS15202","Hotspot-v5.1","d066f558b4aeaf97fa3d61fdfa282f4a",,"hg19","wgEncode",2,"4.9M",3204,,"wgEncodeUwDnaseHahHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseHahHotspotsRep2.broadPeak.gz","wgEncodeUwDnaseHahHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHahHotspotsRep2.broadPeak.gz"
"HA-h","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001191","GSM736594","Stam","UW","DS15192","lmax-v1.0","ad007286b015f86361113bf60899798e",,"hg19","wgEncode",1,"2.3M",3203,,"wgEncodeUwDnaseHahPkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseHahPkRep1.narrowPeak.gz","wgEncodeUwDnaseHahPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHahPkRep1.narrowPeak.gz"
"HA-h","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001191","GSM736535","Stam","UW","DS15202","lmax-v1.0","9ace3f5ef843e5b0240ba7c50594cd71",,"hg19","wgEncode",2,"2.0M",3204,,"wgEncodeUwDnaseHahPkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseHahPkRep2.narrowPeak.gz","wgEncodeUwDnaseHahPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHahPkRep2.narrowPeak.gz"
"HA-h","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001191","GSM736594","Stam","UW","DS15192","WindowDensity-bin20-win+/-75","fb40828654e9a75920ea4e9127f6ed99",,"hg19","wgEncode",1,"165M",3203,,"wgEncodeUwDnaseHahRawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseHahRawRep1.bigWig","wgEncodeUwDnaseHahRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHahRawRep1.bigWig"
"HA-h","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-10#,"wgEncodeEH001191","GSM736535","Stam","UW","DS15202","WindowDensity-bin20-win+/-75","40c626d83a32694f9cdb79f47d894992",,"hg19","wgEncode",2,"200M",3204,,"wgEncodeUwDnaseHahRawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseHahRawRep2.bigWig","wgEncodeUwDnaseHahRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHahRawRep2.bigWig"
"HA-sp","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-06#,#2011-10-06#,"wgEncodeEH001183","GSM736537","Stam","UW","DS14790","Hotspot-v5.1","c9d0c96769ef02cfcfe209a1e4ec95cc",,"hg19","wgEncode",1,"5.3M",3169,,"wgEncodeUwDnaseHaspHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseHaspHotspotsRep1.broadPeak.gz","wgEncodeUwDnaseHaspHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaspHotspotsRep1.broadPeak.gz"
"HA-sp","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-06#,#2011-10-06#,"wgEncodeEH001183","GSM736625","Stam","UW","DS14794","Hotspot-v5.1","67242395a889a64ebb11c1999005c957",,"hg19","wgEncode",2,"4.7M",3170,,"wgEncodeUwDnaseHaspHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseHaspHotspotsRep2.broadPeak.gz","wgEncodeUwDnaseHaspHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaspHotspotsRep2.broadPeak.gz"
"HA-sp","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-06#,#2011-10-06#,"wgEncodeEH001183","GSM736537","Stam","UW","DS14790","lmax-v1.0","670c0c7f759428c1e97f7889dad45a51",,"hg19","wgEncode",1,"2.2M",3169,,"wgEncodeUwDnaseHaspPkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseHaspPkRep1.narrowPeak.gz","wgEncodeUwDnaseHaspPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaspPkRep1.narrowPeak.gz"
"HA-sp","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-06#,#2011-10-06#,"wgEncodeEH001183","GSM736625","Stam","UW","DS14794","lmax-v1.0","beea0161ed7861a1e1b6dc81466e2b78",,"hg19","wgEncode",2,"1.9M",3170,,"wgEncodeUwDnaseHaspPkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseHaspPkRep2.narrowPeak.gz","wgEncodeUwDnaseHaspPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaspPkRep2.narrowPeak.gz"
"HA-sp","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-06#,#2011-10-06#,"wgEncodeEH001183","GSM736537","Stam","UW","DS14790","WindowDensity-bin20-win+/-75","e6ec2e799e4e55cb1f85c00c473fded9",,"hg19","wgEncode",1,"187M",3169,,"wgEncodeUwDnaseHaspRawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseHaspRawRep1.bigWig","wgEncodeUwDnaseHaspRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaspRawRep1.bigWig"
"HA-sp","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2011-01-06#,#2011-10-06#,"wgEncodeEH001183","GSM736625","Stam","UW","DS14794","WindowDensity-bin20-win+/-75","3d0993b58b40971cb9c5da2d13e8a9b8",,"hg19","wgEncode",2,"187M",3170,,"wgEncodeUwDnaseHaspRawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseHaspRawRep2.bigWig","wgEncodeUwDnaseHaspRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHaspRawRep2.bigWig"
"HBMEC","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-07-31#,#2011-05-01#,"wgEncodeEH001178","GSM736509","Stam","UW","DS13817","Hotspot-v5.1","457d5a9e35249cb6954c296a3eeffd73",,"hg19","wgEncode",1,"3.4M",2090,,"wgEncodeUwDnaseHbmecHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseHbmecHotspotsRep1.broadPeak.gz","wgEncodeUwDnaseHbmecHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbmecHotspotsRep1.broadPeak.gz"
"HBMEC","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-07-31#,#2011-05-01#,"wgEncodeEH001178","GSM736554","Stam","UW","DS13806","Hotspot-v5.1","a567886ae284c2615a0ec15dcabcfbd9",,"hg19","wgEncode",2,"3.8M",2087,,"wgEncodeUwDnaseHbmecHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseHbmecHotspotsRep2.broadPeak.gz","wgEncodeUwDnaseHbmecHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbmecHotspotsRep2.broadPeak.gz"
"HBMEC","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-07-31#,#2011-05-01#,"wgEncodeEH001178","GSM736509","Stam","UW","DS13817","lmax-v1.0","db2412a903125e80bb32e69b71e11291",,"hg19","wgEncode",1,"2.3M",2090,,"wgEncodeUwDnaseHbmecPkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseHbmecPkRep1.narrowPeak.gz","wgEncodeUwDnaseHbmecPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbmecPkRep1.narrowPeak.gz"
"HBMEC","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-07-31#,#2011-05-01#,"wgEncodeEH001178","GSM736554","Stam","UW","DS13806","lmax-v1.0","fa2ab791ca4c7b184edb8b0dde81b5b0",,"hg19","wgEncode",2,"1.9M",2087,,"wgEncodeUwDnaseHbmecPkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseHbmecPkRep2.narrowPeak.gz","wgEncodeUwDnaseHbmecPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbmecPkRep2.narrowPeak.gz"
"HBMEC","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-07-31#,#2011-05-01#,"wgEncodeEH001178","GSM736509","Stam","UW","DS13817","WindowDensity-bin20-win+/-75","97bd26ad96d265923ec92623285bfba7",,"hg19","wgEncode",1,"182M",2090,,"wgEncodeUwDnaseHbmecRawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseHbmecRawRep1.bigWig","wgEncodeUwDnaseHbmecRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbmecRawRep1.bigWig"
"HBMEC","wgEncodeUwDnase","DnaseSeq","ENCODE Jan 2011 Freeze",,#2010-07-31#,#2011-05-01#,"wgEncodeEH001178","GSM736554","Stam","UW","DS13806","WindowDensity-bin20-win+/-75","0e485c999d6d55ea04c1ba05f0657d2c",,"hg19","wgEncode",2,"197M",2087,,"wgEncodeUwDnaseHbmecRawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseHbmecRawRep2.bigWig","wgEncodeUwDnaseHbmecRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbmecRawRep2.bigWig"
"HBVP","wgEncodeUwDnase","DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-12-14#,#2012-09-14#,"wgEncodeEH002579","GSM1024750","Stam","UW","DS14834","Hotspot-v5.2","e7fa0af96a638b979384d3ca1040c45a",,"hg19","wgEncode",1,"6.8M",5197,,"wgEncodeUwDnaseHbvpHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseHbvpHotspotsRep1.broadPeak.gz","wgEncodeUwDnaseHbvpHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbvpHotspotsRep1.broadPeak.gz"
"HBVP","wgEncodeUwDnase","DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-12-14#,#2012-09-14#,"wgEncodeEH002579","GSM1024750","Stam","UW","DS14834","lmax-v1.0","5414b098407967911503bb8072bc4112",,"hg19","wgEncode",1,"2.4M",5197,,"wgEncodeUwDnaseHbvpPkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseHbvpPkRep1.narrowPeak.gz","wgEncodeUwDnaseHbvpPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbvpPkRep1.narrowPeak.gz"
"HBVP","wgEncodeUwDnase","DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-12-14#,#2012-09-14#,"wgEncodeEH002579","GSM1024750","Stam","UW","DS14834","WindowDensity-bin20-win+/-75","1770884a0258c4498bc2d2fa4907f6df",,"hg19","wgEncode",1,"204M",5197,,"wgEncodeUwDnaseHbvpRawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseHbvpRawRep1.bigWig","wgEncodeUwDnaseHbvpRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbvpRawRep1.bigWig"
"HBVSMC","wgEncodeUwDnase","DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-12-14#,#2012-09-14#,"wgEncodeEH002580","GSM1024768","Stam","UW","DS14860","Hotspot-v5.2","36b3a67183d4d51ca00e5c3c5d6152d6",,"hg19","wgEncode",1,"4.1M",5199,,"wgEncodeUwDnaseHbvsmcHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseHbvsmcHotspotsRep1.broadPeak.gz","wgEncodeUwDnaseHbvsmcHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbvsmcHotspotsRep1.broadPeak.gz"
"HBVSMC","wgEncodeUwDnase","DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-12-14#,#2012-09-14#,"wgEncodeEH002580","GSM1024769","Stam","UW","DS14845","Hotspot-v5.2","89803c457c902bfbf02a4881fff43659",,"hg19","wgEncode",2,"4.2M",5198,,"wgEncodeUwDnaseHbvsmcHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseHbvsmcHotspotsRep2.broadPeak.gz","wgEncodeUwDnaseHbvsmcHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbvsmcHotspotsRep2.broadPeak.gz"
"HBVSMC","wgEncodeUwDnase","DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-12-14#,#2012-09-14#,"wgEncodeEH002580","GSM1024768","Stam","UW","DS14860","lmax-v1.0","14dbe23e13a80152d3cfc8673291ba59",,"hg19","wgEncode",1,"1.8M",5199,,"wgEncodeUwDnaseHbvsmcPkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseHbvsmcPkRep1.narrowPeak.gz","wgEncodeUwDnaseHbvsmcPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbvsmcPkRep1.narrowPeak.gz"
"HBVSMC","wgEncodeUwDnase","DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-12-14#,#2012-09-14#,"wgEncodeEH002580","GSM1024769","Stam","UW","DS14845","lmax-v1.0","a432bffa701b542dd2a9343b2c1bb30f",,"hg19","wgEncode",2,"1.9M",5198,,"wgEncodeUwDnaseHbvsmcPkRep2","None","narrowPeak","Peaks","wgEncodeUwDnaseHbvsmcPkRep2.narrowPeak.gz","wgEncodeUwDnaseHbvsmcPkRep2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbvsmcPkRep2.narrowPeak.gz"
"HBVSMC","wgEncodeUwDnase","DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-12-14#,#2012-09-14#,"wgEncodeEH002580","GSM1024768","Stam","UW","DS14860","WindowDensity-bin20-win+/-75","2681aa18b26b53206d60a05a01ceb74a",,"hg19","wgEncode",1,"159M",5199,,"wgEncodeUwDnaseHbvsmcRawRep1","None","bigWig","RawSignal","wgEncodeUwDnaseHbvsmcRawRep1.bigWig","wgEncodeUwDnaseHbvsmcRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbvsmcRawRep1.bigWig"
"HBVSMC","wgEncodeUwDnase","DnaseSeq","ENCODE Mar 2012 Freeze",,#2011-12-14#,#2012-09-14#,"wgEncodeEH002580","GSM1024769","Stam","UW","DS14845","WindowDensity-bin20-win+/-75","ae0850d4db18df0fe26c2766c6c664b1",,"hg19","wgEncode",2,"158M",5198,,"wgEncodeUwDnaseHbvsmcRawRep2","None","bigWig","RawSignal","wgEncodeUwDnaseHbvsmcRawRep2.bigWig","wgEncodeUwDnaseHbvsmcRawRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHbvsmcRawRep2.bigWig"
"HCF","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-18#,#2010-01-09#,#2010-10-08#,"wgEncodeEH000513","GSM736568","Stam","UW","DS12501","Hotspot-v5.1","f08bee972dd9376dfeabf82f57aff0e5",,"hg18","wgEncode",1,"2.9M",1591,,"wgEncodeUwDnaseHcfHotspotsRep1","None","broadPeak","Hotspots","wgEncodeUwDnaseHcfHotspotsRep1.broadPeak.gz","wgEncodeUwDnaseHcfHotspotsRep1.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHcfHotspotsRep1.broadPeak.gz"
"HCF","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-18#,#2010-01-08#,#2010-10-07#,"wgEncodeEH000513","GSM736540","Stam","UW","DS12491","Hotspot-v5.1","fc954eca7d16abf6ad6d6a9c3beeccf4",,"hg18","wgEncode",2,"2.9M",1593,,"wgEncodeUwDnaseHcfHotspotsRep2","None","broadPeak","Hotspots","wgEncodeUwDnaseHcfHotspotsRep2.broadPeak.gz","wgEncodeUwDnaseHcfHotspotsRep2.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHcfHotspotsRep2.broadPeak.gz"
"HCF","wgEncodeUwDnase","DnaseSeq","ENCODE June 2010 Freeze",#2010-06-18#,#2010-01-09#,#2010-10-08#,"wgEncodeEH000513","GSM736568","Stam","UW","DS12501","lmax-v1.0","41ad94875a23a00cca68249b7b8fbf2c",,"hg18","wgEncode",1,"2.0M",1591,,"wgEncodeUwDnaseHcfPkRep1","None","narrowPeak","Peaks","wgEncodeUwDnaseHcfPkRep1.narrowPeak.gz","wgEncodeUwDnaseHcfPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDnase/wgEncodeUwDnaseHcfPkRep1.narrowPeak.gz"
