"bio_rep","cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","dcc_internal_notes","donor_id","geo_sample_accession","grant","lab","lab_exp_id","lab_protocol_id","lab_version","localization","md5sum","obj_status","project","read_type","replicate","rna_extract","seq_platform","sex","size","spike_in_pool","sub_id","submitted_data_version","table_name","type","view","filename","fname","url"
"004N","GM12878","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-30#,#2011-06-30#,"wgEncodeEH000170",,,"GSM765386","Gingeras","CSHL","LID8533",,,"nucleus","75bfde2a99aecb7b2682e97f8e2f676f",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"1.2G","Nist14",1927,,"wgEncodeCshlLongRnaSeqGm12878NucleusPapMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqGm12878NucleusPapMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqGm12878NucleusPapMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqGm12878NucleusPapMinusRawSigRep2.bigWig"
"003N","GM12878","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-30#,#2011-06-30#,"wgEncodeEH000170",,,"GSM765386","Gingeras","CSHL","LID8532",,,"nucleus","d6ff052c7dbd870e814b14412a3311d8",,"wgEncode","2x76D",1,"longPolyA","Illumina_GA2x",,"1.2G","Nist14",1926,,"wgEncodeCshlLongRnaSeqGm12878NucleusPapPlusRawSigRep1","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqGm12878NucleusPapPlusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqGm12878NucleusPapPlusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqGm12878NucleusPapPlusRawSigRep1.bigWig"
"004N","GM12878","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-30#,#2011-06-30#,"wgEncodeEH000170",,,"GSM765386","Gingeras","CSHL","LID8533",,,"nucleus","2cb8be0f9da7a89b66bc76d766d1c639",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"1.2G","Nist14",1927,,"wgEncodeCshlLongRnaSeqGm12878NucleusPapPlusRawSigRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqGm12878NucleusPapPlusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqGm12878NucleusPapPlusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqGm12878NucleusPapPlusRawSigRep2.bigWig"
"005WC","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000149",,,"GSM758573","Gingeras","CSHL","LID8663",,,"cell","1459ea72e379f4bd3e0bc95c1d312bf0",,"wgEncode","2x76D",1,"longNonPolyA","Illumina_GA2x",,"978M","Nist14",2457,,"wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaMinusRawSigRep1","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaMinusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaMinusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaMinusRawSigRep1.bigWig"
"006WC","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000149",,,"GSM758573","Gingeras","CSHL","LID8664",,,"cell","a8d9bffedf9ef92fccc7ae258497fe96",,"wgEncode","2x76D",2,"longNonPolyA","Illumina_GA2x",,"1013M","Nist14",2407,,"wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaMinusRawSigRep2.bigWig"
"005WC","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000149",,,"GSM758573","Gingeras","CSHL","LID8663",,,"cell","db427450bbe33bbacef6827974d5991c",,"wgEncode","2x76D",1,"longNonPolyA","Illumina_GA2x",,"1.1G","Nist14",2457,,"wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaPlusRawSigRep1","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaPlusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaPlusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaPlusRawSigRep1.bigWig"
"006WC","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000149",,,"GSM758573","Gingeras","CSHL","LID8664",,,"cell","9412fbc46be578063753f90581b0244e",,"wgEncode","2x76D",2,"longNonPolyA","Illumina_GA2x",,"1.1G","Nist14",2407,,"wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaPlusRawSigRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaPlusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaPlusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellLongnonpolyaPlusRawSigRep2.bigWig"
"005WC,006WC","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-02-18#,#2011-11-18#,"wgEncodeEH000149",,,"GSM758573","Gingeras","CSHL","LID8663,LID8664",,"iIDR","cell","4b3ce0510f29bde9d53ddc0c5c581848",,"wgEncode","2x76D",,"longNonPolyA","Illumina_GA2x",,"23M","Nist14",3613,,"wgEncodeCshlLongRnaSeqH1hescCellPamContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqH1hescCellPamContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqH1hescCellPamContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPamContigs.bedRnaElements.gz"
"005WC,006WC","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-02-18#,#2011-11-18#,"wgEncodeEH000150",,,"GSM758566","Gingeras","CSHL","LID8461,LID8462",,"iIDR","cell","78a6e5af93abb41f03acd53ae57e0e30",,"wgEncode","2x76D",,"longPolyA","Illumina_GA2x",,"20M","Nist14",3614,,"wgEncodeCshlLongRnaSeqH1hescCellPapContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqH1hescCellPapContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqH1hescCellPapContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPapContigs.bedRnaElements.gz"
"005WC","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000150",,,"GSM758566","Gingeras","CSHL","LID8461",,,"cell","48f840994b1c0d9705409a1f4566d0ca",,"wgEncode","2x76D",1,"longPolyA","Illumina_GA2x",,"705M","Nist14",2098,,"wgEncodeCshlLongRnaSeqH1hescCellPapMinusRawSigRep1","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqH1hescCellPapMinusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqH1hescCellPapMinusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPapMinusRawSigRep1.bigWig"
"006WC","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000150",,,"GSM758566","Gingeras","CSHL","LID8462",,,"cell","b77ebc1983989795f0c9def09f6622ed",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"608M","Nist14",1929,,"wgEncodeCshlLongRnaSeqH1hescCellPapMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqH1hescCellPapMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescCellPapMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPapMinusRawSigRep2.bigWig"
"005WC","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000150",,,"GSM758566","Gingeras","CSHL","LID8461",,,"cell","2655b4036e2193b4d0d1648d88101b21",,"wgEncode","2x76D",1,"longPolyA","Illumina_GA2x",,"739M","Nist14",2098,,"wgEncodeCshlLongRnaSeqH1hescCellPapPlusRawSigRep1","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqH1hescCellPapPlusRawSigRep1.bigWig","wgEncodeCshlLongRnaSeqH1hescCellPapPlusRawSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPapPlusRawSigRep1.bigWig"
"006WC","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000150",,,"GSM758566","Gingeras","CSHL","LID8462",,,"cell","ca7cbf571fc15cb83af527bf7c7b77a9",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"636M","Nist14",1929,,"wgEncodeCshlLongRnaSeqH1hescCellPapPlusRawSigRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqH1hescCellPapPlusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescCellPapPlusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCellPapPlusRawSigRep2.bigWig"
"006C","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-11#,"wgEncodeEH000198",,,"GSM767842","Gingeras","CSHL","LID18549",,,"cytosol","bc0fc5389801c015f08204260af3c9e0",,"wgEncode","2x76D",2,"longNonPolyA","Illumina_GA2x",,"39M","Nist14",3221,,"wgEncodeCshlLongRnaSeqH1hescCytosolLongnonpolyaMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqH1hescCytosolLongnonpolyaMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescCytosolLongnonpolyaMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCytosolLongnonpolyaMinusRawSigRep2.bigWig"
"006C","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-11#,"wgEncodeEH000198",,,"GSM767842","Gingeras","CSHL","LID18549",,,"cytosol","48cdf386743565a8cb81e6e1b76f3054",,"wgEncode","2x76D",2,"longNonPolyA","Illumina_GA2x",,"40M","Nist14",3221,,"wgEncodeCshlLongRnaSeqH1hescCytosolLongnonpolyaPlusRawSigRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqH1hescCytosolLongnonpolyaPlusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescCytosolLongnonpolyaPlusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCytosolLongnonpolyaPlusRawSigRep2.bigWig"
"006C","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-02-18#,#2011-11-18#,"wgEncodeEH000198",,,"GSM767842","Gingeras","CSHL","LID18549",,"iIDR","cytosol","64729e3a52e43964b8814a5597ac3742","replaced","wgEncode","2x76D",,"longNonPolyA","Illumina_GA2x",,"15M","Nist14",3615,,"wgEncodeCshlLongRnaSeqH1hescCytosolPamContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqH1hescCytosolPamContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqH1hescCytosolPamContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCytosolPamContigs.bedRnaElements.gz"
"006C","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-10#,#2012-11-10#,"wgEncodeEH000198",,,"GSM767842","Gingeras","CSHL","LID18549",,,"cytosol","9c80466f57606bf14dde4c40c379a673",,"wgEncode","2x76D",,"longNonPolyA","Illumina_GA2x",,"15M","Nist14",5612,"V2 - Replace . with -1 for missing data","wgEncodeCshlLongRnaSeqH1hescCytosolPamContigsV2","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqH1hescCytosolPamContigsV2.bedRnaElements.gz","wgEncodeCshlLongRnaSeqH1hescCytosolPamContigsV2.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCytosolPamContigsV2.bedRnaElements.gz"
"006C","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-02-18#,#2011-11-18#,"wgEncodeEH000151",,,"GSM758570","Gingeras","CSHL","LID8536",,"iIDR","cytosol","1f04425ae2bc49731463433b4e4f8f00","replaced","wgEncode","2x76D",,"longPolyA","Illumina_GA2x",,"18M","Nist14",3616,,"wgEncodeCshlLongRnaSeqH1hescCytosolPapContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqH1hescCytosolPapContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqH1hescCytosolPapContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCytosolPapContigs.bedRnaElements.gz"
"006C","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-10#,#2012-05-14#,"wgEncodeEH000151",,,"GSM758570","Gingeras","CSHL","LID8536",,,"cytosol","c17352057543efe23a38a032d5206ae8",,"wgEncode","2x76D",,"longPolyA","Illumina_GA2x",,"18M","Nist14",5612,"V2 - Replace . with -1 for missing data","wgEncodeCshlLongRnaSeqH1hescCytosolPapContigsV2","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqH1hescCytosolPapContigsV2.bedRnaElements.gz","wgEncodeCshlLongRnaSeqH1hescCytosolPapContigsV2.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCytosolPapContigsV2.bedRnaElements.gz"
"006C","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000151",,,"GSM758570","Gingeras","CSHL","LID8536",,,"cytosol","fb64f13b01908023eb72f7d55fe2f9da",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"614M","Nist14",1912,,"wgEncodeCshlLongRnaSeqH1hescCytosolPapMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqH1hescCytosolPapMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescCytosolPapMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCytosolPapMinusRawSigRep2.bigWig"
"006C","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000151",,,"GSM758570","Gingeras","CSHL","LID8536",,,"cytosol","91c6ddc34ae22add45c8dc8995f2aa90",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"640M","Nist14",1912,,"wgEncodeCshlLongRnaSeqH1hescCytosolPapPlusRawSigRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqH1hescCytosolPapPlusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescCytosolPapPlusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescCytosolPapPlusRawSigRep2.bigWig"
"006N","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-11#,"wgEncodeEH000199",,,"GSM767841","Gingeras","CSHL","LID9199",,,"nucleus","1e5b7a30777eb17c3c13855956772da4",,"wgEncode","2x76D",2,"longNonPolyA","Illumina_GA2x",,"282M","Nist14",3227,,"wgEncodeCshlLongRnaSeqH1hescNucleusLongnonpolyaMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqH1hescNucleusLongnonpolyaMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescNucleusLongnonpolyaMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescNucleusLongnonpolyaMinusRawSigRep2.bigWig"
"006N","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-01-11#,#2011-10-11#,"wgEncodeEH000199",,,"GSM767841","Gingeras","CSHL","LID9199",,,"nucleus","192709bb1092dbb61cf4b4084a223d5c",,"wgEncode","2x76D",2,"longNonPolyA","Illumina_GA2x",,"300M","Nist14",3227,,"wgEncodeCshlLongRnaSeqH1hescNucleusLongnonpolyaPlusRawSigRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqH1hescNucleusLongnonpolyaPlusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescNucleusLongnonpolyaPlusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescNucleusLongnonpolyaPlusRawSigRep2.bigWig"
"006N","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-02-18#,#2011-11-18#,"wgEncodeEH000199",,,"GSM767841","Gingeras","CSHL","LID9199",,"iIDR","nucleus","3fc46419a04be282e18a82a47ba119b6","replaced","wgEncode","2x76D",,"longNonPolyA","Illumina_GA2x",,"30M","Nist14",3617,,"wgEncodeCshlLongRnaSeqH1hescNucleusPamContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqH1hescNucleusPamContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqH1hescNucleusPamContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescNucleusPamContigs.bedRnaElements.gz"
"006N","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-10#,#2012-11-10#,"wgEncodeEH000199",,,"GSM767841","Gingeras","CSHL","LID9199",,,"nucleus","6ae8fee3d1783de59058c2b87accac61",,"wgEncode","2x76D",,"longNonPolyA","Illumina_GA2x",,"31M","Nist14",5612,"V2 - Replace . with -1 for missing data","wgEncodeCshlLongRnaSeqH1hescNucleusPamContigsV2","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqH1hescNucleusPamContigsV2.bedRnaElements.gz","wgEncodeCshlLongRnaSeqH1hescNucleusPamContigsV2.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescNucleusPamContigsV2.bedRnaElements.gz"
"006N","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2011-02-18#,#2011-11-18#,"wgEncodeEH000152",,,"GSM758574","Gingeras","CSHL","LID8558",,"iIDR","nucleus","36deddc56093445edf48667ef244ec15","replaced","wgEncode","2x76D",,"longPolyA","Illumina_GA2x",,"28M","Nist14",3618,,"wgEncodeCshlLongRnaSeqH1hescNucleusPapContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqH1hescNucleusPapContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqH1hescNucleusPapContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescNucleusPapContigs.bedRnaElements.gz"
"006N","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-10#,#2012-05-14#,"wgEncodeEH000152",,,"GSM758574","Gingeras","CSHL","LID8558",,,"nucleus","176c4e16dd881a0bd718857f5a58fa25",,"wgEncode","2x76D",,"longPolyA","Illumina_GA2x",,"28M","Nist14",5612,"V2 - Replace . with -1 for missing data","wgEncodeCshlLongRnaSeqH1hescNucleusPapContigsV2","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqH1hescNucleusPapContigsV2.bedRnaElements.gz","wgEncodeCshlLongRnaSeqH1hescNucleusPapContigsV2.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescNucleusPapContigsV2.bedRnaElements.gz"
"006N","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000152",,,"GSM758574","Gingeras","CSHL","LID8558",,,"nucleus","6f97cdc336e074180f449c60724ba62a",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"882M","Nist14",1913,,"wgEncodeCshlLongRnaSeqH1hescNucleusPapMinusRawSigRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqH1hescNucleusPapMinusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescNucleusPapMinusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescNucleusPapMinusRawSigRep2.bigWig"
"006N","H1-hESC","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jan 2011 Freeze",,#2010-09-29#,#2011-06-29#,"wgEncodeEH000152",,,"GSM758574","Gingeras","CSHL","LID8558",,,"nucleus","ec3c832062261141ec75fed2f2561a30",,"wgEncode","2x76D",2,"longPolyA","Illumina_GA2x",,"920M","Nist14",1913,,"wgEncodeCshlLongRnaSeqH1hescNucleusPapPlusRawSigRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqH1hescNucleusPapPlusRawSigRep2.bigWig","wgEncodeCshlLongRnaSeqH1hescNucleusPapPlusRawSigRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqH1hescNucleusPapPlusRawSigRep2.bigWig"
"056WC","HAoAF","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-25#,#2012-11-24#,"wgEncodeEH002679",,6090101.11,"GSM984614","Gingeras","CSHL","LID47021",,,"cell","09f5a3a6ab33e4e4fdf3ca41c63fe8e6",,"wgEncode","2x101D",2,"total","Illumina_HiSeq_2000",,"367M","Nist13",5871,,"wgEncodeCshlLongRnaSeqHaoaf609010111CellTotalMinusRep2","bigWig","MinusSignal","wgEncodeCshlLongRnaSeqHaoaf609010111CellTotalMinusRep2.bigWig","wgEncodeCshlLongRnaSeqHaoaf609010111CellTotalMinusRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHaoaf609010111CellTotalMinusRep2.bigWig"
"056WC","HAoAF","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Mar 2012 Freeze",,#2012-02-25#,#2012-11-24#,"wgEncodeEH002679",,6090101.11,"GSM984614","Gingeras","CSHL","LID47021",,,"cell","eab3ba43b807f302a1630797eeae5b0c",,"wgEncode","2x101D",2,"total","Illumina_HiSeq_2000",,"374M","Nist13",5871,,"wgEncodeCshlLongRnaSeqHaoaf609010111CellTotalPlusRep2","bigWig","PlusSignal","wgEncodeCshlLongRnaSeqHaoaf609010111CellTotalPlusRep2.bigWig","wgEncodeCshlLongRnaSeqHaoaf609010111CellTotalPlusRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHaoaf609010111CellTotalPlusRep2.bigWig"
"056WC,055WC","HAoAF","wgEncodeCshlLongRnaSeq","RnaSeq","ENCODE Jul 2012 Freeze",,#2012-06-29#,#2013-03-29#,"wgEncodeEH002679",,"6090101.11,6111301.9","GSM984614","Gingeras","CSHL","LID47021,LID47020","056WCt,055WCt","iIDR","cell","34d9699c6e975fefb0ed9aed90c8f6ac",,"wgEncode","2x101D",,"total","Illumina_HiSeq_2000",,"19M","Nist13",7193,,"wgEncodeCshlLongRnaSeqHaoafCellTotalContigs","bedRnaElements","Contigs","wgEncodeCshlLongRnaSeqHaoafCellTotalContigs.bedRnaElements.gz","wgEncodeCshlLongRnaSeqHaoafCellTotalContigs.bedRnaElements","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeCshlLongRnaSeq/wgEncodeCshlLongRnaSeqHaoafCellTotalContigs.bedRnaElements.gz"
