"antibody","cell","composite","control_id","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_version","md5sum","obj_status","orig_assembly","project","replicate","set_type","size","sub_id","table_name","treatment","type","view","filename","fname","url"
"CTCF","GM12891","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000569","GSM822294","Crawford","UT-A","p-value cutoff: 0.05","9c8ce6b60bbee76bcc1d88097bdf6705",,"hg18","wgEncode",,"exp","1.2M",1490,"wgEncodeOpenChromChipGm12891CtcfPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipGm12891CtcfPk.narrowPeak.gz","wgEncodeOpenChromChipGm12891CtcfPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12891CtcfPk.narrowPeak.gz"
"CTCF","GM12891","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000569","GSM822294","Crawford","UT-A","fseq v 1.84, iff_generic_male","950bc7bd1cb829eca1b368ea3d9c095c",,"hg18","wgEncode",,"exp","3.0G",1490,"wgEncodeOpenChromChipGm12891CtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipGm12891CtcfSig.bigWig","wgEncodeOpenChromChipGm12891CtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12891CtcfSig.bigWig"
"CTCF","GM12892","wgEncodeOpenChromChip","generic_female","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-02#,#2010-07-02#,"wgEncodeEH000562","GSM822299","Crawford","UT-A","baseAlignCounts.pl v 1","02de06dc507b2524dea24ef623934462",,"hg18","wgEncode",,"exp","249M",1491,"wgEncodeOpenChromChipGm12892CtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm12892CtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipGm12892CtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12892CtcfBaseOverlapSignal.bigWig"
"CTCF","GM12892","wgEncodeOpenChromChip","generic_female","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-02#,#2010-07-02#,"wgEncodeEH000562","GSM822299","Crawford","UT-A","p-value cutoff: 0.05","62afc2eada9b495bce82f8793934e08b",,"hg18","wgEncode",,"exp","1.2M",1491,"wgEncodeOpenChromChipGm12892CtcfPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipGm12892CtcfPk.narrowPeak.gz","wgEncodeOpenChromChipGm12892CtcfPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12892CtcfPk.narrowPeak.gz"
"CTCF","GM12892","wgEncodeOpenChromChip","generic_female","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-02#,#2010-07-02#,"wgEncodeEH000562","GSM822299","Crawford","UT-A","fseq v 1.84, iff_generic_female","f1e7baf374a5d7b23c155da7dd58e044",,"hg18","wgEncode",,"exp","4.2G",1491,"wgEncodeOpenChromChipGm12892CtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipGm12892CtcfSig.bigWig","wgEncodeOpenChromChipGm12892CtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm12892CtcfSig.bigWig"
"CTCF","GM13976","wgEncodeOpenChromChip","wgEncodeEH003443","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-26#,"wgEncodeEH003448","GSM1006885","Crawford","UT-A","baseAlignCounts.pl v 1","0514a61ae9a5680a0efbf2181cf32fe9",,,"wgEncode",1,"exp","980M",7535,"wgEncodeOpenChromChipGm13976CtcfBaseOverlapSignalRep1",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm13976CtcfBaseOverlapSignalRep1.bigWig","wgEncodeOpenChromChipGm13976CtcfBaseOverlapSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm13976CtcfBaseOverlapSignalRep1.bigWig"
"CTCF","GM13976","wgEncodeOpenChromChip","wgEncodeEH003443","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-26#,"wgEncodeEH003448","GSM1006885","Crawford","UT-A","p-value cutoff: 0.05","f278cb91792ef81d2044e690f4f945fb",,,"wgEncode",1,"exp","1.1M",7535,"wgEncodeOpenChromChipGm13976CtcfPkRep1",,"narrowPeak","Peaks","wgEncodeOpenChromChipGm13976CtcfPkRep1.narrowPeak.gz","wgEncodeOpenChromChipGm13976CtcfPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm13976CtcfPkRep1.narrowPeak.gz"
"CTCF","GM13976","wgEncodeOpenChromChip","wgEncodeEH003443","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-26#,"wgEncodeEH003448","GSM1006885","Crawford","UT-A","fseq v 1.84, iff_GM13976","1880210c47caeb57354e0fde0edaf029",,,"wgEncode",1,"exp","3.9G",7535,"wgEncodeOpenChromChipGm13976CtcfSigRep1",,"bigWig","Signal","wgEncodeOpenChromChipGm13976CtcfSigRep1.bigWig","wgEncodeOpenChromChipGm13976CtcfSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm13976CtcfSigRep1.bigWig"
"Input","GM13976","wgEncodeOpenChromChip","wgEncodeEH003443","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003443","GSM1006894","Crawford","UT-A","fseq v 1.84","4033c9f429f77a88ebfd41df8dc74ae6",,,"wgEncode",,"input","2.9G",7519,"wgEncodeOpenChromChipGm13976InputSig",,"bigWig","Signal","wgEncodeOpenChromChipGm13976InputSig.bigWig","wgEncodeOpenChromChipGm13976InputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm13976InputSig.bigWig"
"CTCF","GM13977","wgEncodeOpenChromChip","wgEncodeEH003444","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-27#,#2013-04-27#,"wgEncodeEH003456","GSM1006869","Crawford","UT-A","baseAlignCounts.pl v 1","916bf456e0eee8096fb9a099f007fd79",,,"wgEncode",1,"exp","1.1G",7536,"wgEncodeOpenChromChipGm13977CtcfBaseOverlapSignalRep1",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm13977CtcfBaseOverlapSignalRep1.bigWig","wgEncodeOpenChromChipGm13977CtcfBaseOverlapSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm13977CtcfBaseOverlapSignalRep1.bigWig"
"CTCF","GM13977","wgEncodeOpenChromChip","wgEncodeEH003444","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-27#,#2013-04-27#,"wgEncodeEH003456","GSM1006869","Crawford","UT-A","p-value cutoff: 0.05","6a2827fa697268cc04fce7b8ecc31f4d",,,"wgEncode",1,"exp","1.1M",7536,"wgEncodeOpenChromChipGm13977CtcfPkRep1",,"narrowPeak","Peaks","wgEncodeOpenChromChipGm13977CtcfPkRep1.narrowPeak.gz","wgEncodeOpenChromChipGm13977CtcfPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm13977CtcfPkRep1.narrowPeak.gz"
"CTCF","GM13977","wgEncodeOpenChromChip","wgEncodeEH003444","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-27#,#2013-04-27#,"wgEncodeEH003456","GSM1006869","Crawford","UT-A","fseq v 1.84, iff_GM13977","1b016a41351fcaf03ca3d0a7d979a58e",,,"wgEncode",1,"exp","4.0G",7536,"wgEncodeOpenChromChipGm13977CtcfSigRep1",,"bigWig","Signal","wgEncodeOpenChromChipGm13977CtcfSigRep1.bigWig","wgEncodeOpenChromChipGm13977CtcfSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm13977CtcfSigRep1.bigWig"
"Input","GM13977","wgEncodeOpenChromChip","wgEncodeEH003444","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-25#,#2013-04-25#,"wgEncodeEH003444","GSM1006889","Crawford","UT-A","fseq v 1.84","25dffdfcc95cefff7b67daea6c42b4cf",,,"wgEncode",,"input","4.7G",7520,"wgEncodeOpenChromChipGm13977InputSig",,"bigWig","Signal","wgEncodeOpenChromChipGm13977InputSig.bigWig","wgEncodeOpenChromChipGm13977InputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm13977InputSig.bigWig"
"CTCF","GM19238","wgEncodeOpenChromChip","generic_female","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000570","GSM822278","Crawford","UT-A","baseAlignCounts.pl v 1","fdf68c14d53504d5593842073c002d1f",,"hg18","wgEncode",,"exp","154M",1516,"wgEncodeOpenChromChipGm19238CtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm19238CtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipGm19238CtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm19238CtcfBaseOverlapSignal.bigWig"
"CTCF","GM19238","wgEncodeOpenChromChip","generic_female","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000570","GSM822278","Crawford","UT-A","p-value cutoff: 0.05","fc1b839efa8f54f75eb47cc6803b478c",,"hg18","wgEncode",,"exp","1.2M",1516,"wgEncodeOpenChromChipGm19238CtcfPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipGm19238CtcfPk.narrowPeak.gz","wgEncodeOpenChromChipGm19238CtcfPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm19238CtcfPk.narrowPeak.gz"
"CTCF","GM19238","wgEncodeOpenChromChip","generic_female","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000570","GSM822278","Crawford","UT-A","fseq v 1.84, iff_generic_female","929da66e7c4cf42d4f52e2d52c265e83",,"hg18","wgEncode",,"exp","3.9G",1516,"wgEncodeOpenChromChipGm19238CtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipGm19238CtcfSig.bigWig","wgEncodeOpenChromChipGm19238CtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm19238CtcfSig.bigWig"
"CTCF","GM19239","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000571","GSM822277","Crawford","UT-A","baseAlignCounts.pl v 1","9a97a40c4bb6a13aa905d1782f27e4bc",,"hg18","wgEncode",,"exp","146M",1525,"wgEncodeOpenChromChipGm19239CtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm19239CtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipGm19239CtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm19239CtcfBaseOverlapSignal.bigWig"
"CTCF","GM19239","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000571","GSM822277","Crawford","UT-A","p-value cutoff: 0.05","12e1b7e9a3f42051505faad4dcc6d71b",,"hg18","wgEncode",,"exp","1.4M",1525,"wgEncodeOpenChromChipGm19239CtcfPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipGm19239CtcfPk.narrowPeak.gz","wgEncodeOpenChromChipGm19239CtcfPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm19239CtcfPk.narrowPeak.gz"
"CTCF","GM19239","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000571","GSM822277","Crawford","UT-A","fseq v 1.84, iff_generic_male","a6f3b11d1c3ae388c0aaa16e4aeeb5bc",,"hg18","wgEncode",,"exp","4.6G",1525,"wgEncodeOpenChromChipGm19239CtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipGm19239CtcfSig.bigWig","wgEncodeOpenChromChipGm19239CtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm19239CtcfSig.bigWig"
"CTCF","GM19240","wgEncodeOpenChromChip","generic_female","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000572","GSM822276","Crawford","UT-A","baseAlignCounts.pl v 1","595e2946698d0d9719b42c39b2b6c33c",,"hg18","wgEncode",,"exp","145M",1536,"wgEncodeOpenChromChipGm19240CtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm19240CtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipGm19240CtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm19240CtcfBaseOverlapSignal.bigWig"
"CTCF","GM19240","wgEncodeOpenChromChip","generic_female","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000572","GSM822276","Crawford","UT-A","p-value cutoff: 0.05","ec2da19aaf0112aa496eca7c788a7bb0",,"hg18","wgEncode",,"exp","1.1M",1536,"wgEncodeOpenChromChipGm19240CtcfPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipGm19240CtcfPk.narrowPeak.gz","wgEncodeOpenChromChipGm19240CtcfPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm19240CtcfPk.narrowPeak.gz"
"CTCF","GM19240","wgEncodeOpenChromChip","generic_female","ChipSeq","ENCODE June 2010 Freeze",#2010-06-17#,#2009-10-06#,#2010-07-06#,"wgEncodeEH000572","GSM822276","Crawford","UT-A","fseq v 1.84, iff_generic_female","b07d0222385819e211056fb179022ec2",,"hg18","wgEncode",,"exp","9.1G",1536,"wgEncodeOpenChromChipGm19240CtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipGm19240CtcfSig.bigWig","wgEncodeOpenChromChipGm19240CtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm19240CtcfSig.bigWig"
"CTCF","GM20000","wgEncodeOpenChromChip","wgEncodeEH003449","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-30#,#2013-04-30#,"wgEncodeEH003458","GSM1006873","Crawford","UT-A","baseAlignCounts.pl v 1","759014cf5f0ca2e70edfd42264677a89",,,"wgEncode",1,"exp","970M",7537,"wgEncodeOpenChromChipGm20000CtcfBaseOverlapSignalRep1",,"bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipGm20000CtcfBaseOverlapSignalRep1.bigWig","wgEncodeOpenChromChipGm20000CtcfBaseOverlapSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm20000CtcfBaseOverlapSignalRep1.bigWig"
"CTCF","GM20000","wgEncodeOpenChromChip","wgEncodeEH003449","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-30#,#2013-04-30#,"wgEncodeEH003458","GSM1006873","Crawford","UT-A","p-value cutoff: 0.05","77b2e33066eabb4c798a3872b8a72c11",,,"wgEncode",1,"exp","1.2M",7537,"wgEncodeOpenChromChipGm20000CtcfPkRep1",,"narrowPeak","Peaks","wgEncodeOpenChromChipGm20000CtcfPkRep1.narrowPeak.gz","wgEncodeOpenChromChipGm20000CtcfPkRep1.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm20000CtcfPkRep1.narrowPeak.gz"
"CTCF","GM20000","wgEncodeOpenChromChip","wgEncodeEH003449","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-30#,#2013-04-30#,"wgEncodeEH003458","GSM1006873","Crawford","UT-A","fseq v 1.84, iff_20000","e1aed1565942b2f5eed433656d6a2829",,,"wgEncode",1,"exp","4.0G",7537,"wgEncodeOpenChromChipGm20000CtcfSigRep1",,"bigWig","Signal","wgEncodeOpenChromChipGm20000CtcfSigRep1.bigWig","wgEncodeOpenChromChipGm20000CtcfSigRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm20000CtcfSigRep1.bigWig"
"Input","GM20000","wgEncodeOpenChromChip","wgEncodeEH003449","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-26#,"wgEncodeEH003449","GSM1006884","Crawford","UT-A","fseq v 1.84","3d79a65a35f200bb5cada2dbb93e8616",,,"wgEncode",,"input","4.6G",7521,"wgEncodeOpenChromChipGm20000InputSig",,"bigWig","Signal","wgEncodeOpenChromChipGm20000InputSig.bigWig","wgEncodeOpenChromChipGm20000InputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipGm20000InputSig.bigWig"
"c-Myc","H1-hESC","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-28#,#2010-09-27#,"wgEncodeEH000596","GSM822274","Crawford","UT-A","baseAlignCounts.pl v 1","70702c7a2b92ccc7cd47ed11913384d5",,"hg18","wgEncode",,"exp","67M",1504,"wgEncodeOpenChromChipH1hescCmycBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipH1hescCmycBaseOverlapSignal.bigWig","wgEncodeOpenChromChipH1hescCmycBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipH1hescCmycBaseOverlapSignal.bigWig"
"c-Myc","H1-hESC","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-28#,#2010-09-27#,"wgEncodeEH000596","GSM822274","Crawford","UT-A","p-value cutoff: 0.01","3babd9bdcb6dd59af96e8091adc56f05",,"hg18","wgEncode",,"exp","337K",1504,"wgEncodeOpenChromChipH1hescCmycPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipH1hescCmycPk.narrowPeak.gz","wgEncodeOpenChromChipH1hescCmycPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipH1hescCmycPk.narrowPeak.gz"
"c-Myc","H1-hESC","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-12-28#,#2010-09-27#,"wgEncodeEH000596","GSM822274","Crawford","UT-A","fseq v 1.84, iff_generic_male","efd5f96ba4caa0366c5673243a107bb8",,"hg18","wgEncode",,"exp","3.0G",1504,"wgEncodeOpenChromChipH1hescCmycSig","None","bigWig","Signal","wgEncodeOpenChromChipH1hescCmycSig.bigWig","wgEncodeOpenChromChipH1hescCmycSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipH1hescCmycSig.bigWig"
"CTCF","H1-hESC","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-01#,#2010-07-01#,"wgEncodeEH000560","GSM822297","Crawford","UT-A","baseAlignCounts.pl v 1","bebcc1e380b2317d8dc84e8c0fec2487",,"hg18","wgEncode",,"exp","94M",1500,"wgEncodeOpenChromChipH1hescCtcfBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipH1hescCtcfBaseOverlapSignal.bigWig","wgEncodeOpenChromChipH1hescCtcfBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipH1hescCtcfBaseOverlapSignal.bigWig"
"CTCF","H1-hESC","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-01#,#2010-07-01#,"wgEncodeEH000560","GSM822297","Crawford","UT-A","p-value cutoff: 0.05","f184dbeabc74f58f3dcf39b997556962",,"hg18","wgEncode",,"exp","1.5M",1500,"wgEncodeOpenChromChipH1hescCtcfPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipH1hescCtcfPk.narrowPeak.gz","wgEncodeOpenChromChipH1hescCtcfPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipH1hescCtcfPk.narrowPeak.gz"
"CTCF","H1-hESC","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-10-01#,#2010-07-01#,"wgEncodeEH000560","GSM822297","Crawford","UT-A","fseq v 1.84, iff_generic_male","b22bd7d64bd459f3fd07ac0202fa48fd",,"hg18","wgEncode",,"exp","3.0G",1500,"wgEncodeOpenChromChipH1hescCtcfSig","None","bigWig","Signal","wgEncodeOpenChromChipH1hescCtcfSig.bigWig","wgEncodeOpenChromChipH1hescCtcfSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipH1hescCtcfSig.bigWig"
"Pol2","H1-hESC","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-22#,#2009-10-02#,#2010-07-02#,"wgEncodeEH000563","GSM822300","Crawford","UT-A","baseAlignCounts.pl v 1","4220a3e55a2b03312dc54e617f9fca50",,"hg18","wgEncode",,"exp","141M",1833,"wgEncodeOpenChromChipH1hescPol2BaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipH1hescPol2BaseOverlapSignal.bigWig","wgEncodeOpenChromChipH1hescPol2BaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipH1hescPol2BaseOverlapSignal.bigWig"
"Pol2","H1-hESC","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-22#,#2009-10-02#,#2010-07-02#,"wgEncodeEH000563","GSM822300","Crawford","UT-A","p-value cutoff: 0.05","9574fdb9b41b1a550abb70dc98e89964",,"hg18","wgEncode",,"exp","2.5M",1833,"wgEncodeOpenChromChipH1hescPol2Pk","None","narrowPeak","Peaks","wgEncodeOpenChromChipH1hescPol2Pk.narrowPeak.gz","wgEncodeOpenChromChipH1hescPol2Pk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipH1hescPol2Pk.narrowPeak.gz"
"Pol2","H1-hESC","wgEncodeOpenChromChip","generic_male","ChipSeq","ENCODE June 2010 Freeze",#2010-06-22#,#2009-10-02#,#2010-07-02#,"wgEncodeEH000563","GSM822300","Crawford","UT-A","fseq v 1.84, iff_generic_male","9e81c4b450c321317f715180a6c34f9f",,"hg18","wgEncode",,"exp","2.1G",1833,"wgEncodeOpenChromChipH1hescPol2Sig","None","bigWig","Signal","wgEncodeOpenChromChipH1hescPol2Sig.bigWig","wgEncodeOpenChromChipH1hescPol2Sig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipH1hescPol2Sig.bigWig"
"Input","Heart_OC","wgEncodeOpenChromChip","wgEncodeEH003450","ChipSeq","ENCODE Jul 2012 Freeze",,#2012-07-26#,#2013-04-26#,"wgEncodeEH003450","GSM1006867","Crawford","UT-A","fseq v 1.84","4278fc3e1a97afa21e4e88bc59a0ad7c",,,"wgEncode",,"input","4.4G",7525,"wgEncodeOpenChromChipHeartocInputSig",,"bigWig","Signal","wgEncodeOpenChromChipHeartocInputSig.bigWig","wgEncodeOpenChromChipHeartocInputSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHeartocInputSig.bigWig"
"c-Myc","HeLa-S3","wgEncodeOpenChromChip","wgEncodeEH000539","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-21#,#2009-12-21#,"wgEncodeEH000542","GSM822286","Crawford","UT-A","baseAlignCounts.pl v 1","e9bbf86b1b80a401cdcb6b16327b5297",,"hg18","wgEncode",,"exp","103M",1501,"wgEncodeOpenChromChipHelas3CmycBaseOverlapSignal","None","bigWig","Base_Overlap_Signal","wgEncodeOpenChromChipHelas3CmycBaseOverlapSignal.bigWig","wgEncodeOpenChromChipHelas3CmycBaseOverlapSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHelas3CmycBaseOverlapSignal.bigWig"
"c-Myc","HeLa-S3","wgEncodeOpenChromChip","wgEncodeEH000539","ChipSeq","ENCODE June 2010 Freeze",#2010-06-16#,#2009-03-21#,#2009-12-21#,"wgEncodeEH000542","GSM822286","Crawford","UT-A","p-value cutoff: 0.01","fdb401701d25d6e7aa7309739253846d",,"hg18","wgEncode",,"exp","266K",1501,"wgEncodeOpenChromChipHelas3CmycPk","None","narrowPeak","Peaks","wgEncodeOpenChromChipHelas3CmycPk.narrowPeak.gz","wgEncodeOpenChromChipHelas3CmycPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeOpenChromChip/wgEncodeOpenChromChipHelas3CmycPk.narrowPeak.gz"
