"bio_rep","cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","donor_id","geo_sample_accession","grant","lab","lab_exp_id","lab_version","localization","md5sum","obj_status","project","read_type","replicate","rna_extract","seq_platform","sex","size","software_version","sub_id","submitted_data_version","table_name","type","view","filename","fname","url"
"012WC","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001146",,,"Gingeras","RIKEN","J81",,"cell","f05df8e18f2f5ad1a406e3349fa3c722","renamed","wgEncode",,2,"longPolyA","Illumina_GA2x",,"5.3M",,2374,,"wgEncodeRikenCageHelas3CellPapPlusClustersRep2","bigWig","PlusSignal","wgEncodeRikenCageHelas3CellPapPlusClustersRep2.bigWig","wgEncodeRikenCageHelas3CellPapPlusClustersRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CellPapPlusClustersRep2.bigWig"
"011WC","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001146",,"GSM849342","Gingeras","RIKEN","J80",,"cell","fdd5a24977678434f95070287a48f89a",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"7.4M",,2363,,"wgEncodeRikenCageHelas3CellPapPlusSignalRep1","bigWig","PlusSignal","wgEncodeRikenCageHelas3CellPapPlusSignalRep1.bigWig","wgEncodeRikenCageHelas3CellPapPlusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CellPapPlusSignalRep1.bigWig"
"012WC","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001146",,"GSM849342","Gingeras","RIKEN","J81",,"cell","f05df8e18f2f5ad1a406e3349fa3c722",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"5.3M",,2374,,"wgEncodeRikenCageHelas3CellPapPlusSignalRep2","bigWig","PlusSignal","wgEncodeRikenCageHelas3CellPapPlusSignalRep2.bigWig","wgEncodeRikenCageHelas3CellPapPlusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CellPapPlusSignalRep2.bigWig"
"Generation 0","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-10-29#,#2011-07-29#,"wgEncodeEH001155",,,"Gingeras","RIKEN","J56",,"cytosol","f65ac5a8ff72138a0be9c5ec35237a18","renamed","wgEncode",,0,"longNonPolyA",,,"1.6M",,2784,,"wgEncodeRikenCageHelas3CytosolLongnonpolyaMinusClusters","bigWig","MinusSignal","wgEncodeRikenCageHelas3CytosolLongnonpolyaMinusClusters.bigWig","wgEncodeRikenCageHelas3CytosolLongnonpolyaMinusClusters.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolLongnonpolyaMinusClusters.bigWig"
"Generation 0","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-10-29#,#2011-07-29#,"wgEncodeEH001155",,,"Gingeras","RIKEN","J56",,"cytosol","adeaec4bbf04650b98a3b562d3714081","renamed","wgEncode",,0,"longNonPolyA",,,"1.6M",,2784,,"wgEncodeRikenCageHelas3CytosolLongnonpolyaPlusClusters","bigWig","PlusSignal","wgEncodeRikenCageHelas3CytosolLongnonpolyaPlusClusters.bigWig","wgEncodeRikenCageHelas3CytosolLongnonpolyaPlusClusters.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolLongnonpolyaPlusClusters.bigWig"
"gen0121C","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-10-29#,#2011-07-29#,"wgEncodeEH001155",,"GSM849360","Gingeras","RIKEN","J56",,"cytosol","f65ac5a8ff72138a0be9c5ec35237a18",,"wgEncode",,,"longNonPolyA",,,"1.6M",,2784,,"wgEncodeRikenCageHelas3CytosolPamMinusSignal","bigWig","MinusSignal","wgEncodeRikenCageHelas3CytosolPamMinusSignal.bigWig","wgEncodeRikenCageHelas3CytosolPamMinusSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPamMinusSignal.bigWig"
"gen0121C","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-10-29#,#2011-07-29#,"wgEncodeEH001155",,"GSM849360","Gingeras","RIKEN","J56",,"cytosol","adeaec4bbf04650b98a3b562d3714081",,"wgEncode",,,"longNonPolyA",,,"1.6M",,2784,,"wgEncodeRikenCageHelas3CytosolPamPlusSignal","bigWig","PlusSignal","wgEncodeRikenCageHelas3CytosolPamPlusSignal.bigWig","wgEncodeRikenCageHelas3CytosolPamPlusSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPamPlusSignal.bigWig"
"011C","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001144",,,"Gingeras","RIKEN","J87",,"cytosol","963897966f19b8d1089a8d0d074f9522","renamed","wgEncode",,1,"longPolyA","Illumina_GA2x",,"4.4M",,2364,,"wgEncodeRikenCageHelas3CytosolPapMinusClustersRep1","bigWig","MinusSignal","wgEncodeRikenCageHelas3CytosolPapMinusClustersRep1.bigWig","wgEncodeRikenCageHelas3CytosolPapMinusClustersRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPapMinusClustersRep1.bigWig"
"012C","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001144",,,"Gingeras","RIKEN","J88",,"cytosol","9aaf4bb31fd997e3593b3e27458727b5","renamed","wgEncode",,2,"longPolyA","Illumina_GA2x",,"3.8M",,2355,,"wgEncodeRikenCageHelas3CytosolPapMinusClustersRep2","bigWig","MinusSignal","wgEncodeRikenCageHelas3CytosolPapMinusClustersRep2.bigWig","wgEncodeRikenCageHelas3CytosolPapMinusClustersRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPapMinusClustersRep2.bigWig"
"011C","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001144",,"GSM849330","Gingeras","RIKEN","J87",,"cytosol","963897966f19b8d1089a8d0d074f9522",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"4.4M",,2364,,"wgEncodeRikenCageHelas3CytosolPapMinusSignalRep1","bigWig","MinusSignal","wgEncodeRikenCageHelas3CytosolPapMinusSignalRep1.bigWig","wgEncodeRikenCageHelas3CytosolPapMinusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPapMinusSignalRep1.bigWig"
"012C","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001144",,"GSM849330","Gingeras","RIKEN","J88",,"cytosol","9aaf4bb31fd997e3593b3e27458727b5",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"3.8M",,2355,,"wgEncodeRikenCageHelas3CytosolPapMinusSignalRep2","bigWig","MinusSignal","wgEncodeRikenCageHelas3CytosolPapMinusSignalRep2.bigWig","wgEncodeRikenCageHelas3CytosolPapMinusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPapMinusSignalRep2.bigWig"
"011C","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001144",,,"Gingeras","RIKEN","J87",,"cytosol","9eb664071fa7d9dd0f2db954508deeb6","renamed","wgEncode",,1,"longPolyA","Illumina_GA2x",,"4.5M",,2364,,"wgEncodeRikenCageHelas3CytosolPapPlusClustersRep1","bigWig","PlusSignal","wgEncodeRikenCageHelas3CytosolPapPlusClustersRep1.bigWig","wgEncodeRikenCageHelas3CytosolPapPlusClustersRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPapPlusClustersRep1.bigWig"
"012C","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001144",,,"Gingeras","RIKEN","J88",,"cytosol","f08210a600e1121ee30ccdf5c8c3f194","renamed","wgEncode",,2,"longPolyA","Illumina_GA2x",,"3.8M",,2355,,"wgEncodeRikenCageHelas3CytosolPapPlusClustersRep2","bigWig","PlusSignal","wgEncodeRikenCageHelas3CytosolPapPlusClustersRep2.bigWig","wgEncodeRikenCageHelas3CytosolPapPlusClustersRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPapPlusClustersRep2.bigWig"
"011C","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001144",,"GSM849330","Gingeras","RIKEN","J87",,"cytosol","9eb664071fa7d9dd0f2db954508deeb6",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"4.5M",,2364,,"wgEncodeRikenCageHelas3CytosolPapPlusSignalRep1","bigWig","PlusSignal","wgEncodeRikenCageHelas3CytosolPapPlusSignalRep1.bigWig","wgEncodeRikenCageHelas3CytosolPapPlusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPapPlusSignalRep1.bigWig"
"012C","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001144",,"GSM849330","Gingeras","RIKEN","J88",,"cytosol","f08210a600e1121ee30ccdf5c8c3f194",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"3.8M",,2355,,"wgEncodeRikenCageHelas3CytosolPapPlusSignalRep2","bigWig","PlusSignal","wgEncodeRikenCageHelas3CytosolPapPlusSignalRep2.bigWig","wgEncodeRikenCageHelas3CytosolPapPlusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3CytosolPapPlusSignalRep2.bigWig"
"Generation 0","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-10-29#,#2011-07-29#,"wgEncodeEH001156",,,"Gingeras","RIKEN","J58",,"nucleolus","f349b38f1156fd7c9af1e502a488ce72","renamed","wgEncode",,0,"total",,,"1.3M",,2783,,"wgEncodeRikenCageHelas3NucleolusTotalMinusClusters","bigWig","MinusSignal","wgEncodeRikenCageHelas3NucleolusTotalMinusClusters.bigWig","wgEncodeRikenCageHelas3NucleolusTotalMinusClusters.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleolusTotalMinusClusters.bigWig"
"gen0123NL","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-10-29#,#2011-07-29#,"wgEncodeEH001156",,"GSM849363","Gingeras","RIKEN","J58",,"nucleolus","f349b38f1156fd7c9af1e502a488ce72",,"wgEncode",,,"total",,,"1.3M",,2783,,"wgEncodeRikenCageHelas3NucleolusTotalMinusSignal","bigWig","MinusSignal","wgEncodeRikenCageHelas3NucleolusTotalMinusSignal.bigWig","wgEncodeRikenCageHelas3NucleolusTotalMinusSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleolusTotalMinusSignal.bigWig"
"Generation 0","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-10-29#,#2011-07-29#,"wgEncodeEH001156",,,"Gingeras","RIKEN","J58",,"nucleolus","7fc3c66d83b13f92308e99d96452ccf3","renamed","wgEncode",,0,"total",,,"1.3M",,2783,,"wgEncodeRikenCageHelas3NucleolusTotalPlusClusters","bigWig","PlusSignal","wgEncodeRikenCageHelas3NucleolusTotalPlusClusters.bigWig","wgEncodeRikenCageHelas3NucleolusTotalPlusClusters.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleolusTotalPlusClusters.bigWig"
"gen0123NL","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-10-29#,#2011-07-29#,"wgEncodeEH001156",,"GSM849363","Gingeras","RIKEN","J58",,"nucleolus","7fc3c66d83b13f92308e99d96452ccf3",,"wgEncode",,,"total",,,"1.3M",,2783,,"wgEncodeRikenCageHelas3NucleolusTotalPlusSignal","bigWig","PlusSignal","wgEncodeRikenCageHelas3NucleolusTotalPlusSignal.bigWig","wgEncodeRikenCageHelas3NucleolusTotalPlusSignal.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleolusTotalPlusSignal.bigWig"
"gen0163N","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-31#,"wgEncodeEH002775",,"GSM979631","Gingeras","RIKEN","CTig10028",,"nucleus","a2736d3a53110909cfb64cb8c5a09b53",,"wgEncode","1x36",1,"longNonPolyA","Illumina_GA2x",,"19M",,6605,,"wgEncodeRikenCageHelas3NucleusPamMinusRawRep1","bigWig","MinusSignal","wgEncodeRikenCageHelas3NucleusPamMinusRawRep1.bigWig","wgEncodeRikenCageHelas3NucleusPamMinusRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPamMinusRawRep1.bigWig"
"gen0163N","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Mar 2012 Freeze",,#2012-03-30#,#2012-12-31#,"wgEncodeEH002775",,"GSM979631","Gingeras","RIKEN","CTig10028",,"nucleus","8128cae05f011c9427cb083b939322fe",,"wgEncode","1x36",1,"longNonPolyA","Illumina_GA2x",,"18M",,6605,,"wgEncodeRikenCageHelas3NucleusPamPlusRawRep1","bigWig","PlusSignal","wgEncodeRikenCageHelas3NucleusPamPlusRawRep1.bigWig","wgEncodeRikenCageHelas3NucleusPamPlusRawRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPamPlusRawRep1.bigWig"
"011N","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001145",,,"Gingeras","RIKEN","J96",,"nucleus","e5ee4571965b12cabb39c5a22e984f5d","renamed","wgEncode",,1,"longPolyA","Illumina_GA2x",,"9.1M",,2386,,"wgEncodeRikenCageHelas3NucleusPapMinusClustersRep1","bigWig","MinusSignal","wgEncodeRikenCageHelas3NucleusPapMinusClustersRep1.bigWig","wgEncodeRikenCageHelas3NucleusPapMinusClustersRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPapMinusClustersRep1.bigWig"
"012N","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001145",,,"Gingeras","RIKEN","J97",,"nucleus","fa076d5af435705fdbd2b3a6272417ba","renamed","wgEncode",,2,"longPolyA","Illumina_GA2x",,"9.9M",,2384,,"wgEncodeRikenCageHelas3NucleusPapMinusClustersRep2","bigWig","MinusSignal","wgEncodeRikenCageHelas3NucleusPapMinusClustersRep2.bigWig","wgEncodeRikenCageHelas3NucleusPapMinusClustersRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPapMinusClustersRep2.bigWig"
"011N","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001145",,"GSM849331","Gingeras","RIKEN","J96",,"nucleus","e5ee4571965b12cabb39c5a22e984f5d",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"9.1M",,2386,,"wgEncodeRikenCageHelas3NucleusPapMinusSignalRep1","bigWig","MinusSignal","wgEncodeRikenCageHelas3NucleusPapMinusSignalRep1.bigWig","wgEncodeRikenCageHelas3NucleusPapMinusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPapMinusSignalRep1.bigWig"
"012N","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001145",,"GSM849331","Gingeras","RIKEN","J97",,"nucleus","fa076d5af435705fdbd2b3a6272417ba",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"9.9M",,2384,,"wgEncodeRikenCageHelas3NucleusPapMinusSignalRep2","bigWig","MinusSignal","wgEncodeRikenCageHelas3NucleusPapMinusSignalRep2.bigWig","wgEncodeRikenCageHelas3NucleusPapMinusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPapMinusSignalRep2.bigWig"
"011N","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001145",,,"Gingeras","RIKEN","J96",,"nucleus","c628400c758e62742bbb79c992d8bde6","renamed","wgEncode",,1,"longPolyA","Illumina_GA2x",,"9.2M",,2386,,"wgEncodeRikenCageHelas3NucleusPapPlusClustersRep1","bigWig","PlusSignal","wgEncodeRikenCageHelas3NucleusPapPlusClustersRep1.bigWig","wgEncodeRikenCageHelas3NucleusPapPlusClustersRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPapPlusClustersRep1.bigWig"
"012N","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001145",,,"Gingeras","RIKEN","J97",,"nucleus","5b58fcac958a5a6f247282695c07a56c","renamed","wgEncode",,2,"longPolyA","Illumina_GA2x",,"11M",,2384,,"wgEncodeRikenCageHelas3NucleusPapPlusClustersRep2","bigWig","PlusSignal","wgEncodeRikenCageHelas3NucleusPapPlusClustersRep2.bigWig","wgEncodeRikenCageHelas3NucleusPapPlusClustersRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPapPlusClustersRep2.bigWig"
"011N","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001145",,"GSM849331","Gingeras","RIKEN","J96",,"nucleus","c628400c758e62742bbb79c992d8bde6",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"9.2M",,2386,,"wgEncodeRikenCageHelas3NucleusPapPlusSignalRep1","bigWig","PlusSignal","wgEncodeRikenCageHelas3NucleusPapPlusSignalRep1.bigWig","wgEncodeRikenCageHelas3NucleusPapPlusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPapPlusSignalRep1.bigWig"
"012N","HeLa-S3","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001145",,"GSM849331","Gingeras","RIKEN","J97",,"nucleus","5b58fcac958a5a6f247282695c07a56c",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"11M",,2384,,"wgEncodeRikenCageHelas3NucleusPapPlusSignalRep2","bigWig","PlusSignal","wgEncodeRikenCageHelas3NucleusPapPlusSignalRep2.bigWig","wgEncodeRikenCageHelas3NucleusPapPlusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHelas3NucleusPapPlusSignalRep2.bigWig"
"013WC","HepG2","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001149",,,"Gingeras","RIKEN","K01",,"cell","82ac89a39f86ff1945ccfff997d5042b","renamed","wgEncode",,1,"longPolyA","Illumina_GA2x",,"9.8M",,2381,,"wgEncodeRikenCageHepg2CellPapMinusClustersRep1","bigWig","MinusSignal","wgEncodeRikenCageHepg2CellPapMinusClustersRep1.bigWig","wgEncodeRikenCageHepg2CellPapMinusClustersRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHepg2CellPapMinusClustersRep1.bigWig"
"014WC","HepG2","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001149",,,"Gingeras","RIKEN","K02",,"cell","8393ef3f063acf9007dc29e119ec0a17","renamed","wgEncode",,2,"longPolyA","Illumina_GA2x",,"9.7M",,2378,,"wgEncodeRikenCageHepg2CellPapMinusClustersRep2","bigWig","MinusSignal","wgEncodeRikenCageHepg2CellPapMinusClustersRep2.bigWig","wgEncodeRikenCageHepg2CellPapMinusClustersRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHepg2CellPapMinusClustersRep2.bigWig"
"013WC","HepG2","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001149",,"GSM849335","Gingeras","RIKEN","K01",,"cell","82ac89a39f86ff1945ccfff997d5042b",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"9.8M",,2381,,"wgEncodeRikenCageHepg2CellPapMinusSignalRep1","bigWig","MinusSignal","wgEncodeRikenCageHepg2CellPapMinusSignalRep1.bigWig","wgEncodeRikenCageHepg2CellPapMinusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHepg2CellPapMinusSignalRep1.bigWig"
"014WC","HepG2","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001149",,"GSM849335","Gingeras","RIKEN","K02",,"cell","8393ef3f063acf9007dc29e119ec0a17",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"9.7M",,2378,,"wgEncodeRikenCageHepg2CellPapMinusSignalRep2","bigWig","MinusSignal","wgEncodeRikenCageHepg2CellPapMinusSignalRep2.bigWig","wgEncodeRikenCageHepg2CellPapMinusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHepg2CellPapMinusSignalRep2.bigWig"
"013WC","HepG2","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001149",,,"Gingeras","RIKEN","K01",,"cell","c51b79f62d0642bfe8b157ba6fe8c3b1","renamed","wgEncode",,1,"longPolyA","Illumina_GA2x",,"11M",,2381,,"wgEncodeRikenCageHepg2CellPapPlusClustersRep1","bigWig","PlusSignal","wgEncodeRikenCageHepg2CellPapPlusClustersRep1.bigWig","wgEncodeRikenCageHepg2CellPapPlusClustersRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHepg2CellPapPlusClustersRep1.bigWig"
"014WC","HepG2","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001149",,,"Gingeras","RIKEN","K02",,"cell","cb73a8f5e68669952b6e1435094a268e","renamed","wgEncode",,2,"longPolyA","Illumina_GA2x",,"9.4M",,2378,,"wgEncodeRikenCageHepg2CellPapPlusClustersRep2","bigWig","PlusSignal","wgEncodeRikenCageHepg2CellPapPlusClustersRep2.bigWig","wgEncodeRikenCageHepg2CellPapPlusClustersRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHepg2CellPapPlusClustersRep2.bigWig"
"013WC","HepG2","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001149",,"GSM849335","Gingeras","RIKEN","K01",,"cell","c51b79f62d0642bfe8b157ba6fe8c3b1",,"wgEncode",,1,"longPolyA","Illumina_GA2x",,"11M",,2381,,"wgEncodeRikenCageHepg2CellPapPlusSignalRep1","bigWig","PlusSignal","wgEncodeRikenCageHepg2CellPapPlusSignalRep1.bigWig","wgEncodeRikenCageHepg2CellPapPlusSignalRep1.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHepg2CellPapPlusSignalRep1.bigWig"
"014WC","HepG2","wgEncodeRikenCage","Cage","ENCODE Jan 2011 Freeze",,#2010-09-21#,#2011-06-21#,"wgEncodeEH001149",,"GSM849335","Gingeras","RIKEN","K02",,"cell","cb73a8f5e68669952b6e1435094a268e",,"wgEncode",,2,"longPolyA","Illumina_GA2x",,"9.4M",,2378,,"wgEncodeRikenCageHepg2CellPapPlusSignalRep2","bigWig","PlusSignal","wgEncodeRikenCageHepg2CellPapPlusSignalRep2.bigWig","wgEncodeRikenCageHepg2CellPapPlusSignalRep2.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHepg2CellPapPlusSignalRep2.bigWig"
"Generation 0","HepG2","wgEncodeRikenCage","Cage","ENCODE June 2010 Freeze",#2010-06-21#,#2010-01-13#,#2010-10-13#,"wgEncodeEH000343",,,"Gingeras","RIKEN",,"bedtools v2.7.1","cytosol","c02bc2a4d781f2be6ed726b8ed6dbe3e","renamed","wgEncode",,0,"longNonPolyA",,,"8.2M",,1801,,"wgEncodeRikenCageHepg2CytosolLongnonpolyaMinusClusters","bigWig","MinusSignal","wgEncodeRikenCageHepg2CytosolLongnonpolyaMinusClusters.bigWig","wgEncodeRikenCageHepg2CytosolLongnonpolyaMinusClusters.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeRikenCage/wgEncodeRikenCageHepg2CytosolLongnonpolyaMinusClusters.bigWig"
